feature,value,count,median,mean,std
offer_type,от агента,6110,1444.0,1462.0,378.0
offer_type,от собственника,1024,1450.0,1574.0,3191.0
series,104 серия,352,1585.0,1599.0,200.0
series,104 серия улучшенная,18,1528.0,1522.0,254.0
series,105 серия,306,1583.0,1557.0,192.0
series,105 серия улучшенная,37,1346.0,1305.0,309.0
series,106 серия,249,1538.0,1938.0,6435.0
series,106 серия улучшенная,130,1301.0,1294.0,238.0
series,107 серия,9,1090.0,1062.0,173.0
series,108 серия,90,1400.0,1378.0,226.0
series,MISSING,1,1033.0,1033.0,
series,индивид. планировка,965,1450.0,1490.0,531.0
series,малосемейка,35,1438.0,1524.0,341.0
series,пентхаус,20,1546.0,1608.0,531.0
series,сталинка,23,1515.0,1615.0,501.0
series,хрущевка,127,1567.0,1590.0,238.0
series,элитка,4772,1404.0,1442.0,360.0
building_material,кирпичный,2193,1450.0,1508.0,2210.0
building_material,монолитный,3845,1419.0,1454.0,367.0
building_material,панельный,1096,1500.0,1502.0,251.0
condition,MISSING,605,1543.0,1576.0,616.0
condition,евроремонт,2639,1600.0,1678.0,1998.0
condition,не достроено,124,1111.0,1155.0,248.0
condition,под самоотделку (псо),2409,1198.0,1233.0,263.0
condition,среднее,330,1500.0,1503.0,268.0
condition,хорошее,1027,1500.0,1512.0,256.0
